name,lat,long
"Abu Dhabi","24.466667","54.366667"
"Basse-Terre","15.9958","-61.7292"
"Berlin","52.516667","13.383333"
"Beirut","33.886944","35.513056"
"Bissau","11.85","-15.566667"
"Bishkek","42.874722","74.612222"
"Beijing","39.916667","116.383333"
"Bogota","4.598056","-74.075833"
"Yerevan","40.183333","44.516667"
"Banjul","13.453056","-16.5775"
"Bangui","4.366667","18.583333"
"Basseterre","17.3","-62.733333"
"Yaren District","-0.5477","166.920867"
"Yaoundé","3.866667","11.516667"
"Bern","46.95","7.45"
"Belmopan","17.251389","-88.766944"
"Bangkok","13.75","100.466667"
"Willemstad","12.116667","-68.933333"
"Windhoek","-22.57","17.083611"
"Abidjan","5.316667","-4.033333"
"West Island, Cocos (Keeling) Islands","-12.186944","96.828333"
"Belgrade","44.816667","20.466667"
"Wellington","-41.288889","174.777222"
"Zagreb","45.816667","15.983333"
"Vientiane","17.966667","102.6"
"Bandar Seri Begawan","4.890278","114.942222"
"Warsaw","52.233333","21.016667"
"The Valley, Anguilla","18.220833","-63.051667"
"Yamoussoukro","6.816667","-5.283333"
"Vaduz","47.141","9.521"
"Valletta","35.897778","14.5125"
"Ulaanbaatar","47.916667","106.916667"
"Vienna","48.2","16.366667"
"Victoria, Seychelles","-4.616667","55.45"
"Vatican City","41.903333","12.453333"
"Tunis","36.8","10.183333"
"Tskhinvali","42.233333","43.966667"
"Tirana","41.33","19.82"
"Tripoli","32.902222","13.185833"
"Kutaisi","42.25","42.7"
"Tarawa","1.433333","173"
"Vilnius","54.683333","25.283333"
"Tehran","35.696111","51.423056"
"Tokyo","35.683333","139.683333"
"Washington, D.C.","38.904722","-77.016389"
"Tiraspol","46.85","29.633333"
"Suva","-18.1416","178.4419"
"Tegucigalpa","14.1","-87.216667"
"Torshavn","62.011667","-6.7675"
"Sukhumi","43.003333","41.015278"
"Thimphu","27.466667","89.641667"
"Tbilisi","41.716667","44.783333"
"Saint-Pierre, Saint Pierre and Miquelon","46.7778","-56.1778"
"Stockholm","59.329444","18.068611"
"Taipei","25.033333","121.633333"
"Stepanakert","39.815278","46.751944"
"Saint Peter Port","49.4555","-2.5368"
"La Paz","-16.5","-68.15"
"Stanley, Falkland Islands","-51.6921","-57.8589"
"Sucre","-19.05","-65.25"
"Tallinn","59.437222","24.745278"
"Sri Jayawardenepura Kotte","6.910833","79.887778"
"Sao Tomé","0.336111","6.681389"
"Sofia","42.7","23.33"
"Tashkent","41.266667","69.216667"
"Colombo","6.934444","79.842778"
"St. George's, Grenada","12.05","-61.75"
"St. John's, Antigua and Barbuda","17.116667","-61.85"
"Skopje","42","21.433333"
"Saint Helier","49.187","-2.107"
"Sarajevo","43.866667","18.416667"
"Singapore","1.283333","103.833333"
"Sana'a","15.348333","44.206389"
"Seoul","37.566667","126.966667"
"San Salvador","13.69","-89.19"
"Saint-Denis, Réunion","-20.8789","55.4481"
"San Juan, Puerto Rico","18.406389","-66.063889"
