,name,lat,long
0,Beijing,39.916667,116.38333300000001
1,Windhoek,-22.57,17.083610999999998
2,"West Island, Cocos (Keeling) Islands",-12.186944,96.828333
3,Wellington,-41.288889000000005,174.777222
4,Vientiane,17.966667,102.6
5,Bandar Seri Begawan,4.8902779999999995,114.942222
6,Yamoussoukro,6.816667,-5.283333
7,"Victoria, Seychelles",-4.616667,55.45
8,Tripoli,32.902221999999995,13.185832999999999
9,Tarawa,1.433333,173.0
10,Vilnius,54.683333,25.283333
11,Tokyo,35.683333000000005,139.683333
12,Tegucigalpa,14.1,-87.216667
13,Torshavn,62.011667,-6.7675
14,"Saint-Pierre, Saint Pierre and Miquelon",46.7778,-56.1778
15,Taipei,25.033333,121.63333300000001
16,La Paz,-16.5,-68.15
17,"Stanley, Falkland Islands",-51.6921,-57.8589
18,Sucre,-19.05,-65.25
19,Sri Jayawardenepura Kotte,6.910833,79.887778
20,Sofia,42.7,23.33
21,Tashkent,41.266667,69.216667
22,Singapore,1.283333,103.833333
23,Road Town,18.431389000000003,-64.623056
24,Santiago,-33.45,-70.666667
25,Saipan,15.180832999999998,145.755833
26,Quito,-0.23333299999999998,-78.516667
27,Pyongyang,39.019444,125.738056
28,Praia,14.918,-23.509
29,Cape Town,-33.925278000000006,18.423889000000003
30,Reykjavik,64.133333,-21.933332999999998
31,Pretoria,-25.746111,28.188056
32,Rabat,34.033333,-6.8333330000000005
33,Port Louis,-20.164386,57.504104000000005
34,Port Moresby,-9.513639,147.218806
35,Port Vila,-17.75,168.3
36,Paramaribo,5.866667,-55.166667000000004
37,Palikir,6.917222,158.158889
38,Ouagadougou,12.357222,-1.5352780000000001
39,Panama City,8.983333,-79.516667
40,Papeete,-17.535,-149.5696
41,Nouméa,-22.2758,166.458
42,Ottawa,45.416667,-75.68333299999999
43,"Nassau, Bahamas",25.066667000000002,-77.333333
44,Naypyidaw,19.75,96.1
45,Ngerulmud,7.500556,134.624167
46,Mogadishu,2.0333330000000003,45.35
47,Monrovia,6.313333,-10.801389
48,Nairobi,-1.283333,36.816666999999995
49,Nuuk,64.175,-51.738889
50,Mata-Utu,-13.283332999999999,-176.183333
51,Manila,14.58,121.0
52,Manama,26.216666999999998,50.583333
53,Montevideo,-34.883611,-56.181943999999994
54,Mexico City,19.433332999999998,-99.133333
55,Luanda,-8.838333,13.234444
56,Lilongwe,-13.983332999999998,33.783333
57,Lisbon,38.713889,-9.139444000000001
58,"Kingston, Norfolk Island",-29.05,167.966667
59,King Edward Point,-54.283333,-36.5
60,"Jamestown, Saint Helena",-15.924444,-5.718056
61,Havana,23.133333,-82.383333
62,Hargeisa,9.566667,44.066666999999995
63,Islamabad,33.716667,73.06666700000001
64,Hanga Roa,-27.133333,-109.41666699999999
65,"Georgetown, Ascension Island",-7.928611,-14.411667000000001
66,"Hamilton, Bermuda",32.293,-64.782
67,Flying Fish Cove,-10.421667,105.67805600000001
68,Edinburgh of the Seven Seas,-37.067278,-12.31
69,Freetown,8.484444,-13.234444
70,Dili,-8.566667,125.566667
71,Dhaka,23.7,90.366667
72,Caracas,10.5,-66.916667
73,Canberra,-35.3075,149.124417
74,Damascus,33.513056,36.291944
75,Brasilia,-15.793889000000002,-47.882778
76,Baku,40.395278000000005,49.882222
77,Brazzaville,-4.267778,15.291944
78,Astana,51.166667,71.43333299999999
79,Apia,-13.833332999999998,-171.75
80,Asmara,15.333332999999998,38.933333000000005
81,Avarua,-21.2,-159.76666699999998
82,Baghdad,33.333333,44.433333000000005
83,Antananarivo,-18.933332999999998,47.516667
84,Amsterdam,52.366667,4.9
85,"Adamstown, Pitcairn Islands",-25.066667000000002,-130.1
86,Abuja,9.066667,7.483333
87,Ankara,39.933333000000005,32.866667
